Project ID,School ID,Teacher ID,Teacher Project Posted Sequence,Project Type,Project Title,Project Essay,Project Subject Category Tree,Project Subject Subcategory Tree,Project Grade Level Category,Project Resource Category,Project Cost,Project Posted Date,Project Current Status,Project Fully Funded Date
1931e9eea56c0941fbf24050a748dbcf,56dc8907ba6c34ab6712303a0f844fef,3fa7f1041bf90e27dc96925eccf3a171,2,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Applied Sciences, Literature & Writing",Grades 6-8,Other,$356.88,2015-08-06,Expired,
71710434134c6c92ec5b227cdfde4fbf,8ce21ea3db20a56edc815fe7ceda8bbb,ffd0f9d5a6f2f7b80cf35b5819108be5,5,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language",Music,Grades 6-8,Other,$779.90,2014-03-14,Fully Funded,2014-03-22
fc3d3348008d4127610461e32a25a888,c8b8d9c6ed3049cf43e458fc63f2ae24,6c4a37ea490617f2747b6dbac8fe3ccd,5,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,Music,Grades 3-5,Supplies,$1456.19,2016-04-01,Live,
0ea2622b504867babf7b539b0f9aea4b,80bacd647a0ecfea958ca9ba0cd620c2,284d82e587f7e1fbda4bd9caeb5cf467,1,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language",Music,Grades PreK-2,Trips,$195.15,2014-04-27,Fully Funded,2014-05-09
3f07f81491d63f78e3e9de99f10c718b,9e8fc9650a2c827e9832685694340a03,956b8c0ca8499b926b5252e314fcdd54,5,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Literacy, Special Needs",Grades 6-8,Technology,$434.16,2015-03-22,Expired,
750cab754ccc9bc2a53f8a28abf3e3fc,ef8c485bc07a30f2edd4253b50f0fd0a,9f044aed7552332702627f7312922f83,5,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 6-8,Trips,$471.28,2014-12-16,Fully Funded,2015-01-05
702cdd20286218b848f4ef125e9953d2,4d71c366b41b31438b10550cd5704f32,ce9e1a11fcbb4e59fbddcf7c9c96e9ec,5,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Literacy, Special Needs",Grades PreK-2,Supplies,$470.25,2013-08-08,Live,
9ad620ab48212ddb45b89cd927cb6f2a,341ef40b57c700aab7b56ea735ebd32d,439472e6da587e8aa25d6b29afffcfd2,5,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Character Education, Literacy",Grades PreK-2,Other,$1261.09,2013-04-01,Fully Funded,2013-04-27
fad409e2a319dcb4217d65a0c56811cd,711c21c9bdc14f1f295d6fbf430f801d,8f9797b06d7ce3c9b4a69f3c8d3aed99,1,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language",Music,Grades PreK-2,Technology,$915.51,2013-10-31,Fully Funded,2013-11-13
e623a6895d59cd2a4eea04e70ab54bde,dc570131f8e1daa7cbceabdeeededb07,35c7936c5b9962c6e61fecc00a368ce7,2,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Literacy, Mathematics",Grades 9-12,Trips,$1149.27,2014-04-30,Expired,
2d534dd0cf8ebc5accc56569f9e8a369,2dea94930658663a698c206fe1a47e10,c84a7b28550a1b46ecab3301bc8f7d29,4,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs",Music,Grades PreK-2,Other,$1321.03,2015-08-22,Expired,
75d66ed4eb1fa9f2d10bd1d033173470,cb9bc326d20eac174e20fd1a598336e3,060edf5b391184973a43b2badf0f06cb,2,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Literacy, Special Needs",Grades PreK-2,Technology,$591.60,2015-11-10,Fully Funded,2015-12-28
54c63cd889456f27d7fa2d8dfb2ca025,e08596db1d8709660710d430f071d879,94a1875d2db69edb42deffccf86c2ca2,3,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 9-12,Technology,$1119.96,2014-10-05,Fully Funded,2014-11-17
629c2ae31d9af65982ec9f2dfbf6e16f,41357e8c30a900ad939b462de645f129,006ed6e36fa17735b572f3d00b5cea6a,5,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Literacy, Special Needs",Grades 9-12,Books,$1428.42,2014-11-08,Live,
1fe771d6d9178793a9d3c2e6505cc686,81d2c7de4ce1eb90e6697833b841d0a0,5380b904688c7015aab97e494f2d4796,4,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science",Music,Grades 6-8,Other,$1030.90,2015-02-16,Expired,
67f48ad54d0b0d1a91b0e1d99d9262af,4dcabfb7001a9a8bd56f03508c459ce2,c9277d9b6e0d264835ce884149732d6c,5,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Applied Sciences, Literature & Writing",Grades 9-12,Other,$1045.88,2015-11-13,Fully Funded,2016-01-07
bc67f831cbc84759f5b78cc7e6b3c944,48a639d015b52908a8aa71582b70e525,9e87e04ca2086977a9f2533683f4a9a9,3,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Literacy, Special Needs",Grades 6-8,Supplies,$306.30,2013-04-05,Expired,
d98868dd9c7c737779a28903fbe33b24,6a18ce4c7496276412a4def0c4bbb7a9,31c681ec935f2b0aa1384ddce2d9de5d,4,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language",Music,Grades 6-8,Books,$1349.72,2013-08-07,Fully Funded,2013-08-26
b227462cf53d4330cdda24ba2d06e8cf,8eb225790cdb1ca476ecbdd68498e113,1f115b76d92c9227eadf50853fcb7546,4,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Literacy, Mathematics",Grades 3-5,Other,$957.71,2017-01-13,Live,
8c41561be827a1b9d4a02e536d3ee1dc,be6033f728be9288e5af6e39722764e6,425a609f7337c59979844388dc8aee30,2,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Applied Sciences, Literature & Writing",Grades 6-8,Technology,$715.82,2017-01-01,Fully Funded,2017-01-21
e49d681d51d87c6455fa1ab8458f1f19,269cd696236c7b8714a0bccb8a476a87,271e3ee2b1a6b1f1620e99d33b33f3d8,2,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",Grades 3-5,Trips,$752.29,2013-05-08,Expired,
e7a37e8163b4c08b6b8e869fd5385b0e,b20dcb6ef2311f1795863a76c51155ff,c3fe0183e172b725db52ca5805000bc6,5,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Character Education, Literacy",Grades 3-5,Technology,$1154.87,2015-05-09,Live,
ccc429038bcf53a1bc10fa52bf5d2fdf,7cfc9b793875394ce5d6f6e69a6ec2f5,7c5308bf6f92f25e45df16b6382c043f,1,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Applied Sciences, Literature & Writing",Grades 6-8,Other,$1387.36,2016-06-28,Live,
978648f864de82e6e82c7d7b06e745f9,157d94a106f028ffa9ba5a27907bfe36,dde9f86322bd33886db99102a48b3dbe,4,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Special Needs",Grades 9-12,Technology,$396.32,2014-11-01,Fully Funded,2014-12-24
c083b73a473bd358610e6a64e1301617,4094dded6bebac31d4f8fd72f3821cfd,04f64d867866076514f7ce8dd5bcb8d0,5,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs",Music,Grades PreK-2,Books,$1155.93,2014-05-22,Expired,
2702878b9f0fda8d05379ff6d6d7b3b8,ab61a7b1793b4c32205004943d114802,37cc863bf2a0345990604f621d48a071,4,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs",Music,Grades PreK-2,Supplies,$1450.61,2013-08-10,Live,
93676a024fdc6e1bedcb8cb60692dc63,60141de9f54ad0a2e87466d7ad66a1bd,32c5bd89b70b3420f1043785658b2523,1,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Character Education, Literacy",Grades 3-5,Trips,$1227.74,2016-03-05,Fully Funded,2016-04-01
5eddbbbfa95976636daa2e688861fe18,575aed2ca5c5650c8186a57611a72609,d284476c6b88f83dd97dc9cd033d2bce,4,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Literacy, Special Needs",Grades 9-12,Supplies,$709.68,2015-12-05,Fully Funded,2016-01-18
c64ee6e389c5b31aeb6c1016cee624d0,d36357b66f81cf4f7701f7bb7bc67e1f,52828d8044b591f797ac6aa8bb2488a3,2,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Applied Sciences, Literature & Writing",Grades 6-8,Other,$897.79,2016-09-30,Fully Funded,2016-10-26
533420e6d9d80b8d7e8adee70758e201,5ad5cf06364d7c877cd0129d2e8d0e87,4797b2c9572072464223623bcc3ebdde,5,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Character Education, Literacy",Grades 6-8,Books,$437.90,2015-04-13,Fully Funded,2015-05-23
79e13ceab0cbc61f3d85de89c2171429,72bb912d7da67785b63b4dc3a559e463,4b5305e517d2582e046a0df5cafda613,2,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Literacy, Special Needs",Grades 3-5,Other,$874.86,2014-12-06,Fully Funded,2015-01-27
b3ee4d3b5a10412954aebd1b8ce6424d,405bfdc94e7ed827455ac7627428a656,314d3441b8a6171f1ee34dc43b048a8b,3,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science",Music,Grades 6-8,Supplies,$1134.05,2014-07-21,Live,
98c7472a864e9a13c29cfc0cfa02eaec,d52721e719bc143efb02bebb48729a4d,5c62b3a23a3c563e4bd6cee631b1b099,2,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 6-8,Technology,$163.72,2013-04-22,Live,
2053da42f1afdb65b289f2244ac9778d,7daa39f0c0b6fce2de53790aa34b6cf6,92f5df7b0323d342df6a8f931a432f0a,3,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",Grades 3-5,Supplies,$1451.70,2014-06-02,Fully Funded,2014-06-14
7de31a516694c34310ba58e3d2762bdc,afbb411aa1235a8c93b7a88612f70c97,cfa701cd2631d00b26d794d30db95301,5,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language",Music,Grades PreK-2,Trips,$1170.22,2016-05-26,Live,
c693da1139c6a1ca9e50aa42ca6dfda1,e893be3d7354ea6f6160745985c7504b,96a9954fdc33e1f94c1f55ab715629ee,4,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Literacy, Mathematics",Grades PreK-2,Trips,$1444.15,2013-07-23,Expired,
a911d19243bfd9313605bf54a021c0ca,2c7f0b793d67cde92834e4c014c8b3b4,00af5b3a2812859a1337739e8d4f5d27,4,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Applied Sciences, Literature & Writing",Grades 3-5,Books,$424.07,2016-12-18,Fully Funded,2017-02-05
aff8754d1238d630743b65a2dc0f2fcf,c9af18f843b9da13ec856f373bc1a987,a9434aa096fc734da003cd28ca8f3653,2,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 6-8,Supplies,$1371.78,2013-10-19,Fully Funded,2013-10-27
9854ce4e4ebfa5c3cae9b4a72a79ea68,ebd3461691b78d8ed3016989bfbbb17f,77fc97031fd5a423706c5c5649e2623d,3,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Literacy, Mathematics",Grades 9-12,Other,$212.62,2013-03-23,Fully Funded,2013-05-14
069f14f140181c6e9a8cfa3c5283aac7,ac9ed156f63fce413a9aca5e176132ed,964db03f93403faddc4ad56bd6016237,1,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Character Education, Literacy",Grades 6-8,Other,$826.55,2015-06-25,Fully Funded,2015-07-11
a28140446f96288295d82980ff37d19c,175ba98df81401027de1bdfed0725b5c,5553b2fe6889803e5913f9d3785299f4,3,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Literacy, Special Needs",Grades 9-12,Other,$503.50,2015-04-01,Live,
50843242168b1625746f78910964fbbf,f85e06a11dad09b252c21221409d3602,83bc9478dd6ac7b86778043bc5c5b37a,1,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",Grades PreK-2,Supplies,$825.82,2016-06-29,Fully Funded,2016-08-13
341c64940d366dfcc28ebd7071299889,ed7bf656218a15368c99a894445dcc38,b2c08394e17f29e17028604649bc473f,4,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 6-8,Supplies,$535.05,2013-01-29,Live,
fe0490593985fb6217dc8eff687213f9,762172ed1d0bc9bde9b5c5cfd7665cda,d50755d9a5d04d531e1242e3f27292b6,2,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Literacy, Mathematics",Grades 3-5,Other,$1268.61,2015-08-26,Expired,
6232b17a250741818d1fb54074eff545,821c13369970cf60ebff8d1530cbd755,dd30de8922f235f2e11b868dbf0d073d,1,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Literacy, Special Needs",Grades 3-5,Books,$495.97,2014-09-04,Live,
7d5911c6a8f1e091ffb8102d9475dbc9,89e06ab37250ee18260a5962dd81b7f5,8d4a75b8551ac8ea585a0afa7bfdcc12,5,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Literacy, Special Needs",Grades 6-8,Supplies,$900.52,2014-04-24,Fully Funded,2014-05-01
b489d0707914f8a8bea4ff31517400f8,62d60e9361985d54cfb87e6fe9d68f23,d21c82f8cada4f80a9e782d4fd08b32c,2,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language",Music,Grades 3-5,Books,$1323.87,2015-06-21,Fully Funded,2015-07-29
b8f2142303edd1f874f93d17e912b4bf,a79fbfafdef5768968f45bce24e75e8e,783089301327f1bc2784378ff84f16b3,3,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Applied Sciences, Literature & Writing",Grades PreK-2,Technology,$1293.28,2015-12-29,Fully Funded,2016-01-23
c268283ee32f2e63b7fddd71a075e927,0930aef68a80068ddf547e507cea2045,a193c4b23c19e71d118405ad9e11d2cd,3,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Applied Sciences, Literature & Writing",Grades PreK-2,Books,$721.15,2016-11-22,Fully Funded,2016-11-28
0e5dd462cbd00ef2530a37df0bc61066,6e417d475ff595ea5bc440f14b1a269b,697c392387fa841a3e83b91f25440fe0,5,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,Music,Grades PreK-2,Trips,$1319.18,2016-06-23,Expired,
24a35cf29549c931e9af299d7f671eec,4104a8b5a34db7c5760debbb3b70b3a1,0267deb3aab612c9415d174a75a66981,4,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science",Music,Grades PreK-2,Other,$1423.33,2016-04-18,Fully Funded,2016-06-02
40066ff2b0b862ef6c9f82b9f6478986,32ffe2944d57d880d865d69a74f33103,7bb38605da743152627b41a1ffd6f232,1,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Literacy, Mathematics",Grades 3-5,Trips,$514.22,2016-12-03,Fully Funded,2016-12-09
6553867da881bfd3d47d577bfa5a91ca,dd750e9890e0b95f0212b554464458b4,f93e08d5bea29dfec73f6e1baf908e3c,1,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Literacy, Special Needs",Grades 6-8,Trips,$1222.70,2014-03-25,Expired,
c16d83edad81f8bd402913ec9ef2b93e,ae4c84ffa8c01f05c478f6f1b88ec318,18dfbc3ca0d4de3d2303f6c6d69d42f1,1,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Math & Science, Literacy & Language","Character Education, Literacy",Grades 3-5,Supplies,$226.19,2014-08-28,Fully Funded,2014-10-19
21d53971336749b52cf6bf756a5e6920,f8b38a8be05fb8bc8a16a06cc958e75e,e9da484a80759f1f87e5f0fe5da8d6d2,3,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Applied Sciences, Literature & Writing",Grades 3-5,Technology,$1225.93,2015-08-18,Fully Funded,2015-09-01
dc322c9739c1e262f76c8edec1101266,fadd7ea3aca5e2fdb966442aad238d36,cdf974a7d882b5c1f79efd7065bcc272,5,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Applied Sciences, Literature & Writing",Grades PreK-2,Technology,$851.20,2015-07-21,Fully Funded,2015-09-07
95a5bafa431d029fac1e86d8bfbf397b,f0b6f83fa377f6f1d289f0ab618ae305,3bdbc09eacc216a01bbc91f75f18e583,4,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science","Literacy, Mathematics",Grades 3-5,Trips,$409.91,2013-05-10,Fully Funded,2013-06-28
1dde7969688613dba6348e784d5c55c7,0986bbebf23e323d0b9bd93423c86d30,1dba12677e1ca5a1fef518a64dead645,1,Teacher-Led,Ukuleles For Middle Schoolers,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Math & Science",Music,Grades 9-12,Other,$619.42,2016-11-27,Live,
ba0266efbe055787965befdf6b4be411,a7a8f6366a35df59e2aa7a5d278ed00d,9d9b62317d45d8efd56ce8ea19597b5a,4,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Special Needs",Grades 6-8,Other,$722.57,2014-04-29,Fully Funded,2014-05-10
8b621d415e09a9eeaf88bdecfb1e143b,5bd20c98a5135ea0fa53e34de6d5901d,30974b2b46a02a9b65ec7acd0f8035f5,1,Teacher-Led,Technology in the Classroom,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language",Music,Grades PreK-2,Books,$1201.51,2014-05-14,Expired,
11906f5034885a4690882eafc9776598,350843f08de08fc2c3e15a85d46ef104,dea45c19d0243d723748967f961d33ba,2,Teacher-Led,"Big Books, Flip Books",Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Literacy, Mathematics",Grades PreK-2,Technology,$1301.77,2013-10-24,Expired,
2cabd7e7cc6b66e5402adf9c8a4b8f7c,06998731ddcf8766a93b12cd1c24220e,ca3c6f5f5bb5c40c03cde2e321bddb41,2,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Character Education, Literacy",Grades 6-8,Technology,$173.36,2015-05-13,Live,
79eb4168104556e5bee3eb791d181ee9,836390075cae9610c72c1fe372c22a16,80fb929673b6a09b1beaf6ac97fa7f04,2,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Literacy, Mathematics",Grades 3-5,Other,$1000.68,2013-03-05,Fully Funded,2013-04-09
afa415e56d20449666d06371d8e88ebb,e8e22743b65feea97d8242641ba362e7,14aeaf5ce63658c912d0498d718d4d05,3,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Character Education, Literacy",Grades 6-8,Technology,$974.04,2016-04-13,Live,
fe9fecaa6182f347533f5a72b64fa54a,7426b1934b7e6b3c87d292a698eeac2b,1963c26d6e218b099afd4015816bcb9f,1,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Applied Sciences, Literature & Writing",Grades 9-12,Supplies,$679.34,2015-07-18,Fully Funded,2015-08-18
6d4067f450032b3518578bafbac7e2b9,5fd231094140752caa44825950018b7b,ec48bf55afd380c42713582cf41ea3ac,4,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Applied Learning, Literacy & Language","Character Education, Literacy",Grades PreK-2,Other,$235.19,2015-02-03,Expired,
f4e559e5962293480f5ae9d38e6e5003,ab85fd595463adc78fca7b6a8fc42092,dfa4bb9f5a856750692ac1391f4a8ca1,4,Teacher-Led,Anti-Bullying Begins with Me,Lorem ipsum dolor sit amet classroom school...,"Literacy & Language, Special Needs","Literacy, Mathematics",Grades 3-5,Technology,$245.04,2015-11-06,Expired,
39681c817b70c3b8a81fdec3279c658a,d86a646059a1120e1bb43332d8e7012f,c33a1f6c1d691fba5e187b248e676a01,3,Teacher-Led,Reading is Fun,Lorem ipsum dolor sit amet classroom school...,Music & The Arts,"Applied Sciences, Literature & Writing",Grades PreK-2,Trips,$1400.72,2016-11-21,Fully Funded,2016-11-27
