Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
d0679cbc71934827a9ccd9ec3a6729b2,basketballs (set of 6),15.0,102.17,Woodwind & Brasswind
8a81c3fe37e9462c8f0ab69e21832654,sensory fidget tools set,13.0,52.19,Discount School Supply
8a81c3fe37e9462c8f0ab69e21832654,microscope for classroom use,19.0,25.03,Lakeshore Learning Materials
8a81c3fe37e9462c8f0ab69e21832654,microscope for classroom use,35.0,10.45,AKJ Education
868d6d480e574c3eb7ba38bad8486576,"gaiam kids stay-n-play balance ball, grey",11.0,29.79,AKJ Education
868d6d480e574c3eb7ba38bad8486576,classroom library book set,34.0,75.49,AKJ Education
0de9ebcc2d274eb982dd962150ec57a4,apple ipad wi-fi 32gb,6.0,16.12,Lakeshore Learning Materials
0de9ebcc2d274eb982dd962150ec57a4,hp 11.6 chromebook,44.0,34.36,Woodwind & Brasswind
8e92d9fcada24cee8c34180cbf9f820c,classroom library book set,17.0,20.1,Amazon Business
8e92d9fcada24cee8c34180cbf9f820c,sensory fidget tools set,30.0,19.23,Lakeshore Learning Materials
8e92d9fcada24cee8c34180cbf9f820c,microscope for classroom use,43.0,41.64,Best Buy Co
8e92d9fcada24cee8c34180cbf9f820c,sensory fidget tools set,33.0,48.19,Woodwind & Brasswind
8e92d9fcada24cee8c34180cbf9f820c,black write and wipe markers,3.0,22.8,Woodwind & Brasswind
d4758075001d4d90abe2f45ee2d67a1d,basketballs (set of 6),1.0,50.46,School Specialty
d4758075001d4d90abe2f45ee2d67a1d,basketballs (set of 6),24.0,26.55,AKJ Education
edac3f922c8343e1bf5aaabc503e3cad,science kit - magnets and motion,48.0,129.74,Best Buy Co
c9a9928873b344689f19d361e12ae661,classroom library book set,43.0,25.91,Lakeshore Learning Materials
c9a9928873b344689f19d361e12ae661,sensory fidget tools set,5.0,20.09,Woodwind & Brasswind
c9a9928873b344689f19d361e12ae661,hp 11.6 chromebook,18.0,19.4,Lakeshore Learning Materials
c9a9928873b344689f19d361e12ae661,hp 11.6 chromebook,43.0,29.63,Best Buy Co
c9a9928873b344689f19d361e12ae661,privacy partition,2.0,36.29,Amazon Business
7f3828a12dd847d3923da3a33c9c54bd,wireless headphones,14.0,14.66,Blick Art Materials
7f3828a12dd847d3923da3a33c9c54bd,basketballs (set of 6),20.0,17.77,Blick Art Materials
7f3828a12dd847d3923da3a33c9c54bd,science kit - magnets and motion,12.0,5.57,Blick Art Materials
7f3828a12dd847d3923da3a33c9c54bd,black write and wipe markers,33.0,213.32,Discount School Supply
7f3828a12dd847d3923da3a33c9c54bd,soft seating cushion,21.0,20.4,School Specialty
f18abacf6cdd4a42a56335327e0f57bb,privacy partition,17.0,23.38,Discount School Supply
f18abacf6cdd4a42a56335327e0f57bb,hp 11.6 chromebook,22.0,74.95,School Specialty
f18abacf6cdd4a42a56335327e0f57bb,sensory fidget tools set,48.0,19.03,Woodwind & Brasswind
f18abacf6cdd4a42a56335327e0f57bb,sensory fidget tools set,7.0,106.64,Woodwind & Brasswind
44b7f4defa964b9086fe1abffb63d9c6,privacy partition,29.0,14.15,AKJ Education
44b7f4defa964b9086fe1abffb63d9c6,wireless headphones,1.0,7.57,Woodwind & Brasswind
44b7f4defa964b9086fe1abffb63d9c6,privacy partition,14.0,39.94,School Specialty
44b7f4defa964b9086fe1abffb63d9c6,classroom library book set,35.0,13.75,Woodwind & Brasswind
44b7f4defa964b9086fe1abffb63d9c6,science kit - magnets and motion,40.0,6.67,Blick Art Materials
08faf5a211644004bdcb7547bd26e007,"gaiam kids stay-n-play balance ball, grey",25.0,46.27,Blick Art Materials
cbf83615576f4bb292d36c7ebf2767fe,microscope for classroom use,28.0,38.26,AKJ Education
f644df80d5354794a4e6202820b2d9c8,microscope for classroom use,7.0,6.46,School Specialty
f644df80d5354794a4e6202820b2d9c8,apple ipad wi-fi 32gb,2.0,34.41,AKJ Education
2f555c2d06f540f686a3f8256ac5e6c6,hp 11.6 chromebook,4.0,22.94,Amazon Business
2f555c2d06f540f686a3f8256ac5e6c6,"gaiam kids stay-n-play balance ball, grey",34.0,5.32,Best Buy Co
2f555c2d06f540f686a3f8256ac5e6c6,wireless headphones,2.0,37.24,Lakeshore Learning Materials
2f555c2d06f540f686a3f8256ac5e6c6,"gaiam kids stay-n-play balance ball, grey",42.0,208.5,AKJ Education
001064d9ba554521b3f1116a2378513d,microscope for classroom use,19.0,13.06,Best Buy Co
001064d9ba554521b3f1116a2378513d,"gaiam kids stay-n-play balance ball, grey",30.0,16.97,Best Buy Co
001064d9ba554521b3f1116a2378513d,sensory fidget tools set,28.0,17.99,Woodwind & Brasswind
001064d9ba554521b3f1116a2378513d,black write and wipe markers,8.0,54.02,Blick Art Materials
ae31eec8a0774e26a06ca48503d76136,black write and wipe markers,49.0,85.24,School Specialty
ae31eec8a0774e26a06ca48503d76136,flexible seating stool,40.0,27.12,Woodwind & Brasswind
f323bd9feaad4ade9605696c5f8d79d2,classroom library book set,25.0,6.23,AKJ Education
f323bd9feaad4ade9605696c5f8d79d2,art easel,23.0,12.5,Blick Art Materials
19a928d14ed14f738c845a7fb5e600d0,graphing calculator,5.0,20.69,Amazon Business
19a928d14ed14f738c845a7fb5e600d0,black write and wipe markers,5.0,15.36,Lakeshore Learning Materials
7ff50dbe5f004eda8ca61b6da6b37511,microscope for classroom use,1.0,21.58,School Specialty
7ff50dbe5f004eda8ca61b6da6b37511,classroom library book set,46.0,36.04,Woodwind & Brasswind
7ff50dbe5f004eda8ca61b6da6b37511,science kit - magnets and motion,38.0,177.43,Discount School Supply
6502fbe8dc194f5997ed748853d4b165,soft seating cushion,39.0,12.52,Lakeshore Learning Materials
6502fbe8dc194f5997ed748853d4b165,flexible seating stool,16.0,12.5,AKJ Education
6502fbe8dc194f5997ed748853d4b165,apple ipad wi-fi 32gb,8.0,2.1,School Specialty
6502fbe8dc194f5997ed748853d4b165,graphing calculator,45.0,26.76,Best Buy Co
6502fbe8dc194f5997ed748853d4b165,graphing calculator,49.0,5.4,Best Buy Co
f5b4e21813964cf897feb07498cf1977,sensory fidget tools set,45.0,20.09,Discount School Supply
f5b4e21813964cf897feb07498cf1977,art easel,40.0,12.59,Best Buy Co
f5b4e21813964cf897feb07498cf1977,classroom library book set,3.0,88.41,Amazon Business
f5b4e21813964cf897feb07498cf1977,basketballs (set of 6),49.0,8.13,Woodwind & Brasswind
f5b4e21813964cf897feb07498cf1977,microscope for classroom use,30.0,155.38,School Specialty
bab473a52f014756bad197d86e40a207,classroom library book set,7.0,16.56,Discount School Supply
bab473a52f014756bad197d86e40a207,hp 11.6 chromebook,45.0,28.08,Lakeshore Learning Materials
bab473a52f014756bad197d86e40a207,black write and wipe markers,34.0,6.66,Blick Art Materials
bab473a52f014756bad197d86e40a207,soft seating cushion,2.0,7.01,Blick Art Materials
bab473a52f014756bad197d86e40a207,wireless headphones,1.0,17.04,School Specialty
6201124dbb5f411680c636295b37a0dc,soft seating cushion,4.0,84.38,AKJ Education
6201124dbb5f411680c636295b37a0dc,classroom library book set,7.0,16.91,Best Buy Co
6201124dbb5f411680c636295b37a0dc,wireless headphones,47.0,42.1,Discount School Supply
6201124dbb5f411680c636295b37a0dc,art easel,47.0,29.87,Woodwind & Brasswind
6201124dbb5f411680c636295b37a0dc,science kit - magnets and motion,40.0,27.84,Discount School Supply
09d20f6a36644565bddbcd9cfafae938,science kit - magnets and motion,39.0,28.91,Woodwind & Brasswind
397cf1ade40c4879862b95ec06633111,"gaiam kids stay-n-play balance ball, grey",8.0,80.31,Lakeshore Learning Materials
397cf1ade40c4879862b95ec06633111,black write and wipe markers,38.0,107.27,Best Buy Co
397cf1ade40c4879862b95ec06633111,soft seating cushion,24.0,7.84,Best Buy Co
397cf1ade40c4879862b95ec06633111,privacy partition,48.0,64.17,Best Buy Co
fe34939c0e9145eaa75c21afe5e14f5a,privacy partition,25.0,30.97,Lakeshore Learning Materials
fe34939c0e9145eaa75c21afe5e14f5a,sensory fidget tools set,43.0,17.03,Lakeshore Learning Materials
fe34939c0e9145eaa75c21afe5e14f5a,sensory fidget tools set,23.0,31.14,AKJ Education
f7c23e6e8cdf4b0ab7fef299d30e953a,graphing calculator,10.0,7.23,Best Buy Co
f7c23e6e8cdf4b0ab7fef299d30e953a,science kit - magnets and motion,37.0,52.48,AKJ Education
f7c23e6e8cdf4b0ab7fef299d30e953a,wireless headphones,7.0,73.98,Amazon Business
38e3c9eb87c547dab54011a7de6b94d2,wireless headphones,44.0,87.79,Lakeshore Learning Materials
38e3c9eb87c547dab54011a7de6b94d2,apple ipad wi-fi 32gb,35.0,16.79,Blick Art Materials
38e3c9eb87c547dab54011a7de6b94d2,science kit - magnets and motion,5.0,27.42,Amazon Business
38e3c9eb87c547dab54011a7de6b94d2,privacy partition,14.0,12.94,Woodwind & Brasswind
38e3c9eb87c547dab54011a7de6b94d2,classroom library book set,18.0,2.0,Best Buy Co
c5fc668201cd4a3d9c39efa60693b23c,graphing calculator,4.0,21.42,School Specialty
c5fc668201cd4a3d9c39efa60693b23c,microscope for classroom use,44.0,114.61,Amazon Business
c5fc668201cd4a3d9c39efa60693b23c,microscope for classroom use,1.0,28.58,Amazon Business
c5fc668201cd4a3d9c39efa60693b23c,apple ipad wi-fi 32gb,2.0,17.25,Discount School Supply
2aee313e45d749c79fefaf48900c24f7,classroom library book set,28.0,20.44,Best Buy Co
2aee313e45d749c79fefaf48900c24f7,graphing calculator,35.0,66.33,Best Buy Co
2aee313e45d749c79fefaf48900c24f7,science kit - magnets and motion,5.0,21.31,Amazon Business
2aee313e45d749c79fefaf48900c24f7,black write and wipe markers,33.0,144.6,AKJ Education
2aee313e45d749c79fefaf48900c24f7,privacy partition,9.0,19.95,Amazon Business
0b428077731e44f5b2639df32e8b00b3,hp 11.6 chromebook,19.0,7.16,Discount School Supply
0b428077731e44f5b2639df32e8b00b3,soft seating cushion,10.0,98.14,School Specialty
0b428077731e44f5b2639df32e8b00b3,microscope for classroom use,39.0,98.43,School Specialty
9d5e6bb5039c499e9bb1a52c48f22bc1,black write and wipe markers,30.0,24.61,Lakeshore Learning Materials
9d5e6bb5039c499e9bb1a52c48f22bc1,"gaiam kids stay-n-play balance ball, grey",44.0,105.94,Best Buy Co
8c08749a602349cf9b99c61795cf0cae,science kit - magnets and motion,18.0,20.44,Discount School Supply
8c08749a602349cf9b99c61795cf0cae,soft seating cushion,14.0,29.36,Woodwind & Brasswind
8c08749a602349cf9b99c61795cf0cae,classroom library book set,29.0,117.89,Amazon Business
7225c14a46fd486285c0d9cd3fe97da3,"gaiam kids stay-n-play balance ball, grey",28.0,21.95,Amazon Business
7225c14a46fd486285c0d9cd3fe97da3,"gaiam kids stay-n-play balance ball, grey",6.0,106.17,Blick Art Materials
7225c14a46fd486285c0d9cd3fe97da3,hp 11.6 chromebook,10.0,23.62,Best Buy Co
7225c14a46fd486285c0d9cd3fe97da3,hp 11.6 chromebook,19.0,41.34,Discount School Supply
7225c14a46fd486285c0d9cd3fe97da3,classroom library book set,3.0,111.26,Amazon Business
aaff3ded3b5b4c95bcef8ea0b782abc6,sensory fidget tools set,33.0,21.73,Best Buy Co
aaff3ded3b5b4c95bcef8ea0b782abc6,flexible seating stool,38.0,14.11,Best Buy Co
aaff3ded3b5b4c95bcef8ea0b782abc6,soft seating cushion,16.0,9.54,Discount School Supply
aaff3ded3b5b4c95bcef8ea0b782abc6,privacy partition,28.0,13.62,Best Buy Co
aaff3ded3b5b4c95bcef8ea0b782abc6,wireless headphones,6.0,7.78,AKJ Education
67bc6234b0c944b8b762e0cc864b8d3f,microscope for classroom use,18.0,22.3,Woodwind & Brasswind
67bc6234b0c944b8b762e0cc864b8d3f,science kit - magnets and motion,21.0,63.98,School Specialty
67bc6234b0c944b8b762e0cc864b8d3f,wireless headphones,13.0,61.02,Discount School Supply
67bc6234b0c944b8b762e0cc864b8d3f,basketballs (set of 6),36.0,39.82,Discount School Supply
67bc6234b0c944b8b762e0cc864b8d3f,hp 11.6 chromebook,18.0,7.11,Woodwind & Brasswind
bd8c6a915cf04105b1b6efc4e576a1c5,basketballs (set of 6),34.0,23.51,Discount School Supply
bd8c6a915cf04105b1b6efc4e576a1c5,apple ipad wi-fi 32gb,28.0,11.12,School Specialty
bd8c6a915cf04105b1b6efc4e576a1c5,black write and wipe markers,38.0,12.32,AKJ Education
bd8c6a915cf04105b1b6efc4e576a1c5,graphing calculator,16.0,25.94,Discount School Supply
48e8b0c04a12446aa5081f247706be9a,"gaiam kids stay-n-play balance ball, grey",39.0,50.56,School Specialty
48e8b0c04a12446aa5081f247706be9a,science kit - magnets and motion,30.0,4.03,School Specialty
48e8b0c04a12446aa5081f247706be9a,"gaiam kids stay-n-play balance ball, grey",34.0,33.64,Woodwind & Brasswind
ff2353867233448ba4aa6d6a6c2a6127,art easel,1.0,12.16,School Specialty
6763fc0de9894a6a8a7735fb3b0718b0,art easel,36.0,31.77,Discount School Supply
6763fc0de9894a6a8a7735fb3b0718b0,privacy partition,31.0,12.68,Woodwind & Brasswind
6763fc0de9894a6a8a7735fb3b0718b0,graphing calculator,35.0,13.47,Discount School Supply
6763fc0de9894a6a8a7735fb3b0718b0,classroom library book set,33.0,34.66,Lakeshore Learning Materials
be25bb27edfb485fa0560d7b0d3401dd,hp 11.6 chromebook,41.0,91.07,Woodwind & Brasswind
be25bb27edfb485fa0560d7b0d3401dd,black write and wipe markers,22.0,25.91,Discount School Supply
be25bb27edfb485fa0560d7b0d3401dd,basketballs (set of 6),14.0,50.93,Woodwind & Brasswind
be25bb27edfb485fa0560d7b0d3401dd,art easel,12.0,16.72,Blick Art Materials
be25bb27edfb485fa0560d7b0d3401dd,black write and wipe markers,40.0,243.68,Lakeshore Learning Materials
6e39d4b26795476cbf8804436ceefe2e,flexible seating stool,46.0,28.2,Woodwind & Brasswind
6e39d4b26795476cbf8804436ceefe2e,art easel,18.0,17.79,Blick Art Materials
6e39d4b26795476cbf8804436ceefe2e,sensory fidget tools set,21.0,16.58,School Specialty
6e39d4b26795476cbf8804436ceefe2e,black write and wipe markers,1.0,14.14,School Specialty
d4c0796a6e83424f9d228fb2e5e9e626,classroom library book set,31.0,16.28,Lakeshore Learning Materials
d4c0796a6e83424f9d228fb2e5e9e626,microscope for classroom use,32.0,30.8,AKJ Education
d4c0796a6e83424f9d228fb2e5e9e626,art easel,28.0,13.39,Blick Art Materials
d4c0796a6e83424f9d228fb2e5e9e626,microscope for classroom use,35.0,63.75,Lakeshore Learning Materials
e7f2f4773d91478db0165b9dccb0bc15,science kit - magnets and motion,2.0,22.06,AKJ Education
e7f2f4773d91478db0165b9dccb0bc15,wireless headphones,43.0,6.04,Discount School Supply
e7f2f4773d91478db0165b9dccb0bc15,apple ipad wi-fi 32gb,1.0,22.93,Best Buy Co
e7f2f4773d91478db0165b9dccb0bc15,soft seating cushion,21.0,14.54,AKJ Education
3a00f1db74f84c04b18c33a7f250f63a,"gaiam kids stay-n-play balance ball, grey",15.0,27.05,AKJ Education
3a00f1db74f84c04b18c33a7f250f63a,classroom library book set,28.0,18.32,Amazon Business
0092a4aa591f4c6aab23e895118c7ba5,microscope for classroom use,18.0,54.94,Discount School Supply
f8cddf81b6f349d5bbb8c2368ddc9336,privacy partition,12.0,15.47,School Specialty
54f2e571f2db415a9683fbc049ba4341,art easel,16.0,23.94,Woodwind & Brasswind
54f2e571f2db415a9683fbc049ba4341,black write and wipe markers,48.0,10.51,Lakeshore Learning Materials
54f2e571f2db415a9683fbc049ba4341,flexible seating stool,23.0,26.48,Blick Art Materials
54f2e571f2db415a9683fbc049ba4341,science kit - magnets and motion,44.0,72.22,Best Buy Co
54f2e571f2db415a9683fbc049ba4341,wireless headphones,25.0,30.85,Amazon Business
ab0c583729414a6196434a74adf431a7,sensory fidget tools set,10.0,42.33,Lakeshore Learning Materials
ab0c583729414a6196434a74adf431a7,classroom library book set,7.0,38.87,Best Buy Co
ab0c583729414a6196434a74adf431a7,basketballs (set of 6),4.0,41.63,Blick Art Materials
3376ff90be4343689cf8a711ab396f03,privacy partition,2.0,19.27,Amazon Business
3376ff90be4343689cf8a711ab396f03,art easel,13.0,6.36,Amazon Business
3376ff90be4343689cf8a711ab396f03,basketballs (set of 6),44.0,133.66,Blick Art Materials
de6806b390e04f8c8991f358e40af699,art easel,44.0,11.89,Blick Art Materials
de6806b390e04f8c8991f358e40af699,microscope for classroom use,30.0,183.38,School Specialty
3d553be4eb7f4dd4b80946553767991b,microscope for classroom use,48.0,105.88,Best Buy Co
3d553be4eb7f4dd4b80946553767991b,"gaiam kids stay-n-play balance ball, grey",11.0,46.54,Discount School Supply
3d553be4eb7f4dd4b80946553767991b,black write and wipe markers,33.0,96.55,Best Buy Co
3d553be4eb7f4dd4b80946553767991b,hp 11.6 chromebook,47.0,29.88,Best Buy Co
8e12ea23d14c47e0ad70e7cc027c5800,science kit - magnets and motion,9.0,2.0,Best Buy Co
8e12ea23d14c47e0ad70e7cc027c5800,sensory fidget tools set,28.0,26.82,Amazon Business
8e12ea23d14c47e0ad70e7cc027c5800,basketballs (set of 6),31.0,35.15,School Specialty
00198e452228495d8dae7387ae4f2c1f,black write and wipe markers,7.0,8.66,Blick Art Materials
00198e452228495d8dae7387ae4f2c1f,graphing calculator,43.0,19.53,Lakeshore Learning Materials
00198e452228495d8dae7387ae4f2c1f,sensory fidget tools set,49.0,29.02,Discount School Supply
dea03b9e16914daf81cf2a8bd2365a0f,black write and wipe markers,42.0,41.78,Woodwind & Brasswind
dea03b9e16914daf81cf2a8bd2365a0f,sensory fidget tools set,44.0,21.36,Amazon Business
dea03b9e16914daf81cf2a8bd2365a0f,wireless headphones,28.0,36.47,Best Buy Co
aeca05861c984d0896726487e0f4689e,"gaiam kids stay-n-play balance ball, grey",24.0,33.83,AKJ Education
aeca05861c984d0896726487e0f4689e,privacy partition,36.0,6.83,Blick Art Materials
4d098c6aef6a48c58e226b400c37e751,graphing calculator,33.0,39.41,Amazon Business
11cdeea061b04285b505e557539482df,flexible seating stool,9.0,13.6,Amazon Business
f0cb8a04ecbf495f93bffd5fd481c472,sensory fidget tools set,26.0,77.89,AKJ Education
f0cb8a04ecbf495f93bffd5fd481c472,microscope for classroom use,35.0,6.27,Woodwind & Brasswind
f0cb8a04ecbf495f93bffd5fd481c472,graphing calculator,45.0,28.23,Discount School Supply
f0cb8a04ecbf495f93bffd5fd481c472,art easel,6.0,12.95,Woodwind & Brasswind
f0cb8a04ecbf495f93bffd5fd481c472,sensory fidget tools set,34.0,74.79,Blick Art Materials
37751fadcdc84511beb93ac2f2be87e0,privacy partition,24.0,13.89,Blick Art Materials
37751fadcdc84511beb93ac2f2be87e0,soft seating cushion,22.0,57.28,Best Buy Co
37751fadcdc84511beb93ac2f2be87e0,soft seating cushion,8.0,22.43,Lakeshore Learning Materials
8280e49c17024622a9032d9dc01b932a,privacy partition,4.0,19.22,Amazon Business
8280e49c17024622a9032d9dc01b932a,wireless headphones,44.0,27.89,Discount School Supply
8280e49c17024622a9032d9dc01b932a,graphing calculator,40.0,74.57,AKJ Education
9590b3cb5c9b4d869a4b8a8a2596fd78,privacy partition,46.0,9.2,School Specialty
9590b3cb5c9b4d869a4b8a8a2596fd78,soft seating cushion,38.0,17.68,AKJ Education
9590b3cb5c9b4d869a4b8a8a2596fd78,"gaiam kids stay-n-play balance ball, grey",31.0,9.02,Best Buy Co
5e3d61d93146451b91c03082cda03b26,"gaiam kids stay-n-play balance ball, grey",49.0,92.46,School Specialty
c70c2618cb654e21b68876b5725efef2,classroom library book set,5.0,11.37,Best Buy Co
c70c2618cb654e21b68876b5725efef2,black write and wipe markers,32.0,86.02,AKJ Education
f82c6eab43ba469ba41520fa66694f4d,flexible seating stool,16.0,102.37,Blick Art Materials
f82c6eab43ba469ba41520fa66694f4d,graphing calculator,27.0,8.99,Woodwind & Brasswind
f82c6eab43ba469ba41520fa66694f4d,sensory fidget tools set,44.0,5.31,Blick Art Materials
f82c6eab43ba469ba41520fa66694f4d,black write and wipe markers,6.0,20.3,AKJ Education
f82c6eab43ba469ba41520fa66694f4d,graphing calculator,21.0,60.96,Discount School Supply
09e5b9938cd84e8f8724a5a847753f14,basketballs (set of 6),22.0,24.91,Woodwind & Brasswind
d421672634c64daeaa1aa2103f28dc48,flexible seating stool,44.0,20.05,AKJ Education
d421672634c64daeaa1aa2103f28dc48,microscope for classroom use,41.0,2.0,Lakeshore Learning Materials
d421672634c64daeaa1aa2103f28dc48,classroom library book set,35.0,297.26,School Specialty
d421672634c64daeaa1aa2103f28dc48,soft seating cushion,22.0,20.49,Amazon Business
2c2389bce61a4bea82bdc02d9efc6300,sensory fidget tools set,13.0,58.58,Best Buy Co
